metadataAddress,mintAddress,updateAuthorityAddress,editionNonce,tokenStandard,name,symbol,uri
4WxU45dyjBZghcE1NF6kWM3snceFdDK78MXytMWq9stg,HhNdg6mUtx7gpEZgn8JFpob4mznZBiD81HF1WCmec1Q7,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #170332227,,https://api.stepn.io/run/nftjson/103/145794998083
Bsc6VwFCD7WD13S86XzgRMPd2tEnthmKrsyk1ZWMHBpT,BnyDbLUYFjECUEin737ZnS1iySGZPycuVkNhvSGqd4om,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #923067862,,https://api.stepn.io/run/nftjson/103/27522708053
6ZdjPZ2ADWU8uXHBTi5oo7qwNLGrUouT8qzUqjNX9sRo,GjjKnk3WRrMz1fiAfS54P2EDWq1WcSMj4dA1SEsAX6Du,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,249,NonFungible,Sneaker #387104359,,https://api.stepn.com/run/nftjson/103/110375193485
9WYBRvuHiruydhMMAhoG7yeMo7nKU4iCjS2dgRVsuczE,3gQYoP2kdbD348PGcLEyp4c22UQwhArsTfHzF1eV6fqr,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,254,NonFungible,Sneaker #622888131,,https://api.stepn.com/run/nftjson/103/56779775075
EqCLd5br4jVVpBzMucthK6vXg7eT7YP7CiEp3hsQ9HXn,13xwXBv5hV8P8SJ82UYoNrzBHmRTmfRi3s5UfHDGwVfB,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #830933990,,https://api.stepn.com/run/nftjson/103/110471984679
1nDwbFrNC3gB1paJd9e9x5AYJP1eCKoc8DdY9ZwNwWw,2RA5MjzUSzsQRsm1TShiurvV16hfcPiSYedvjcBT9Ehd,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,254,NonFungible,Sneaker #714525123,,https://api.stepn.com/run/nftjson/103/130479377171
5PFULLMP15mR2AL3eawCVASp2CYhBaqVKQmnhEXmNJsg,BNpu49azArFfJbffWdC3n7gk4vKrZfsuYZtDQf9k6ATb,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,STEPN Shoebox #553407868,,https://api.stepn.io/run/nftjson/103/199186179766
DbFahCiRbDNV82UDX9vZHEv1Ln5bbG3E7SyEmWEipuCP,DeEmZhmAkEgdDQ2VAt1voNaUQsxrpw2stn2ShTDvY61L,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #865159455,,https://api.stepn.com/run/nftjson/103/81152317483
WheRrGbLKk5G8tgs4J1tLiQCeqe6cT8KDJs6m9BgyoF,AGt9vF9VTPtn2VPsQrfi7QhAR5bX2NePdjoMLSqmtS7N,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,254,NonFungible,Sneaker #551131817,,https://api.stepn.com/run/nftjson/103/150705576845
7zPSBrdTPycRAczMjY3xPX4srSHJw6rtvBX4YhYZBP4z,CiZi4TszhkteXAnYDcZHQwBDtPKyXg1yNvevee4JekKE,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #600116828,,https://api.stepn.io/run/nftjson/103/101354889607
